Time,AUV x,AUV y,AUV z,AUV heading x,AUV heading y,AUV heading z,Angle,Distance,Depth,Estimate x,Estimate y,Estimate z,True x,True y,Heading,Speed,Acceleration,Mag_uy,Mag_uz,Mag_cy,Mag_cz
1.406239252891e9,140.072385630407,50.5828021870791,0,0.9698720152847469,0.24361501178602207,0,-999,-999,-1.2897760200946335,143.55638269576497,54.061196628156395,-1.9182704672500714,146.311671577233,51.5913400345,-0.2679904471989235,0.8104008101451893,-0.05162060252283243,0.053435662393088675,-0.0977841856076947,-0.013571961855905812,-0.2825883468285184
1.406239253418e9,140.845102830595,51.8801676848415,0,0.9698720152847469,0.24361501178602207,0,6,2.291678196875875,-1.2797403800000007,144.836329755769,52.36249312204675,-3.1478771741317106,146.673262161318,49.8696273303933,-0.051187031744762634,0.8220535753176041,-0.008527195287163343,0.11277752887818024,-0.11178331689101566,0.04965054338172416,-0.29131648677349314
1.406239253763e9,140.845102830595,51.8801676848415,0,0.9909831997148363,0.1339861854182917,0,-999,-999,-1.2793723114839841,145.41152010961625,52.408696268782556,-3.144240965171428,146.877957791213,49.8924034932241,0.23330085827685446,0.7939372607729264,-0.024421634618747336,0.16774558194463024,-0.07131630897105729,0.11519738896229048,-0.23648052382632562
1.406239254266e9,140.536201477005,52.0647115348388,0,0.9622179935292854,0.2722802470405743,0,4,4.876082546096749,-1.2790406299999995,145.22012619687996,52.72704435752053,-3.148659599937586,146.707908091955,51.1225639944973,0.4973510103259339,0.7686005081669689,-0.03016817354486957,0.22075937820115316,-0.048046360754528304,0.17635416584454236,-0.20215013348065933
1.406239254855e9,140.536201477005,52.0647115348388,0,0.9622179935292854,0.2722802470405743,0,-999,-999,-1.2902937614046088,145.4737879064217,52.99533883634385,-3.1412932053909888,146.865174401423,51.1153803148634,0.790967603889408,0.7686005081669689,-0.011268702880864841,0.2644016195430544,-0.003630366952015931,0.23000148394095404,-0.14414445089868563
1.406239255397e9,140.072385630407,52.4360226541039,0,0.9414705448120378,0.33709525842308213,0,-999,-999,-1.294890109999999,145.78184954396437,53.20674097544058,-3.1396136810649518,147.030948166156,51.1417119923818,0.6544795676560641,0.7686005081669689,-0.014888078573906356,0.25700753232615225,-0.035023275583778074,0.21779263550307287,-0.1820771500933765
1.406239255892e9,140.072385630407,52.4360226541039,0,0.9291325715340559,0.3697467572738297,0,-999,-999,-1.2555993268147085,146.1077738984743,53.48323191603275,-3.1105676971530425,147.172394706941,51.1812442836076,0.9143875060995461,0.7686005081669689,-0.02767901628121497,0.2838794237669723,0.016044345777273324,0.25392521663296186,-0.1184309255046308
1.406239256419e9,140.316352766712,52.4649271125182,0,0.9040825496607785,0.42735786338719206,0,3,6.845625998423498,-1.2447743100000002,146.2093461162422,53.80720903062,-3.1107740271598643,147.220579402424,51.4596388454571,0.987504686192946,0.7686005081669689,-0.018616334036665516,0.2966597360752101,0.028186110684297366,0.26952236455005696,-0.10246311106230281
1.406239256896e9,140.515793580709,52.5471936476404,0,0.8878153851364015,0.4601997847838514,0,-999,-999,-1.2424657097337337,146.3625451874978,54.10868249479695,-3.0812934959076617,147.350198860813,51.4480493360243,1.1199934374001257,0.7285710263144601,-0.015072044672698195,0.3107830813360745,0.056031111052241615,0.28864428834542155,-0.06782864487712434
1.406239257346e9,140.776458086232,52.4749325019996,0,0.8878153851364015,0.4601997847838514,0,-999,-999,-1.2418594099999996,146.63405478895416,54.381997781192126,-3.0500483393338036,147.493838381842,51.4602898585421,1.2156447652829163,0.7180582214156079,0.001546479341644827,0.3144978358111911,0.0790706576963346,0.29572791262460885,-0.04021323207036499
1.406239257905e9,140.968477846072,52.571651266724,0,0.8079898838980305,0.5891963573533421,0,-999,-999,-1.2431804713066765,146.91968258291476,54.647094450304955,-2.9991913835559414,147.660904071046,51.4601219561833,1.0969883353491776,0.7180582214156079,-0.00170952031082066,0.3077201691840756,0.0512640717453014,0.28466355553713313,-0.07384234099443962
1.406239258348e9,140.86180020113,52.8896003092811,0,0.8079898838980305,0.5891963573533421,0,-999,-999,-1.2434903499999996,147.28826631870845,54.87546113372494,-2.9605565700643353,147.839745400006,51.4585250790205,1.213003809238999,0.7180582214156079,0.007509026080558284,0.31119070194136694,0.0791871320825725,0.2921177605500082,-0.04050834104310186
1.406239258861e9,141.091852861549,53.0263406311414,0,0.7466381822853917,0.6652303546543605,0,-999,-999,-1.249884578021088,147.35718623693265,55.22964550422699,-2.9488461914512722,147.974451061135,51.4576893574429,1.0737232931676732,0.6835545300647436,-0.0055550623100997995,0.29872056800810776,0.04868683054322451,0.2744610715912086,-0.07805343297877242
1.406239259307e9,141.564017393415,53.2453474889139,0,0.7466381822853917,0.6652303546543605,0,-999,-999,-1.2523466200000006,147.54521346682608,55.455069085874754,-2.9228296573014196,148.091117633562,51.4572954220093,1.1206659690944325,0.6702691833030852,-0.007536954334158748,0.3007716766190151,0.05941191559921974,0.2781113872941096,-0.06515617801270598
1.40623925972e9,142.333024066524,53.6211054482996,0,0.6481199010631312,0.7615383075367365,0,-999,-999,-1.2463455824195864,147.79390896193595,55.68424352878969,-2.884946008887207,148.269589491833,51.4504692413948,1.1111748847989902,0.6702691833030852,-0.004681985369374732,0.30060276820131404,0.05716015580178675,0.2776319068853899,-0.06782978132070049
